Date,Country,State,Gender,Count
01/03/2005,Australia,ACT,Female,7
01/03/2005,Australia,ACT,Male,171
01/03/2005,Australia,NSW,Female,650
01/03/2005,Australia,NSW,Male,8368
01/03/2005,Australia,NT,Female,25
01/03/2005,Australia,NT,Male,760
01/03/2005,Australia,QLD,Female,354
01/03/2005,Australia,QLD,Male,4940
01/03/2005,Australia,SA,Female,92
01/03/2005,Australia,SA,Male,1460
01/03/2005,Australia,TAS,Female,31
01/03/2005,Australia,TAS,Male,494
01/03/2005,Australia,VIC,Female,258
01/03/2005,Australia,VIC,Male,3276
01/03/2005,Australia,WA,Female,271
01/03/2005,Australia,WA,Male,3139
01/06/2005,Australia,ACT,Female,10
01/06/2005,Australia,ACT,Male,173
01/06/2005,Australia,NSW,Female,652
01/06/2005,Australia,NSW,Male,8447
01/06/2005,Australia,NT,Female,28
01/06/2005,Australia,NT,Male,794
01/06/2005,Australia,QLD,Female,358
01/06/2005,Australia,QLD,Male,4987
01/06/2005,Australia,SA,Female,93
01/06/2005,Australia,SA,Male,1418
01/06/2005,Australia,TAS,Female,28
01/06/2005,Australia,TAS,Male,512
01/06/2005,Australia,VIC,Female,255
01/06/2005,Australia,VIC,Male,3337
01/06/2005,Australia,WA,Female,268
01/06/2005,Australia,WA,Male,3283
01/09/2005,Australia,ACT,Female,6
01/09/2005,Australia,ACT,Male,181
01/09/2005,Australia,NSW,Female,623
01/09/2005,Australia,NSW,Male,8384
01/09/2005,Australia,NT,Female,24
01/09/2005,Australia,NT,Male,772
01/09/2005,Australia,QLD,Female,364
01/09/2005,Australia,QLD,Male,5004
01/09/2005,Australia,SA,Female,100
01/09/2005,Australia,SA,Male,1430
01/09/2005,Australia,TAS,Female,31
01/09/2005,Australia,TAS,Male,498
01/09/2005,Australia,VIC,Female,257
01/09/2005,Australia,VIC,Male,3421
01/09/2005,Australia,WA,Female,250
01/09/2005,Australia,WA,Male,3166
01/12/2005,Australia,ACT,Female,12
01/12/2005,Australia,ACT,Male,192
01/12/2005,Australia,NSW,Female,629
01/12/2005,Australia,NSW,Male,8362
01/12/2005,Australia,NT,Female,26
01/12/2005,Australia,NT,Male,734
01/12/2005,Australia,QLD,Female,371
01/12/2005,Australia,QLD,Male,4950
01/12/2005,Australia,SA,Female,102
01/12/2005,Australia,SA,Male,1454
01/12/2005,Australia,TAS,Female,35
01/12/2005,Australia,TAS,Male,484
01/12/2005,Australia,VIC,Female,242
01/12/2005,Australia,VIC,Male,3407
01/12/2005,Australia,WA,Female,236
01/12/2005,Australia,WA,Male,3157
01/03/2006,Australia,ACT,Female,13
01/03/2006,Australia,ACT,Male,177
01/03/2006,Australia,NSW,Female,643
01/03/2006,Australia,NSW,Male,8460
01/03/2006,Australia,NT,Female,29
01/03/2006,Australia,NT,Male,777
01/03/2006,Australia,QLD,Female,365
01/03/2006,Australia,QLD,Male,5058
01/03/2006,Australia,SA,Female,101
01/03/2006,Australia,SA,Male,1435
01/03/2006,Australia,TAS,Female,33
01/03/2006,Australia,TAS,Male,443
01/03/2006,Australia,VIC,Female,218
01/03/2006,Australia,VIC,Male,3338
01/03/2006,Australia,WA,Female,247
01/03/2006,Australia,WA,Male,3187
01/06/2006,Australia,ACT,Female,15
01/06/2006,Australia,ACT,Male,175
01/06/2006,Australia,NSW,Female,657
01/06/2006,Australia,NSW,Male,8599
01/06/2006,Australia,NT,Female,33
01/06/2006,Australia,NT,Male,783
01/06/2006,Australia,QLD,Female,380
01/06/2006,Australia,QLD,Male,5147
01/06/2006,Australia,SA,Female,101
01/06/2006,Australia,SA,Male,1475
01/06/2006,Australia,TAS,Female,38
01/06/2006,Australia,TAS,Male,465
01/06/2006,Australia,VIC,Female,225
01/06/2006,Australia,VIC,Male,3446
01/06/2006,Australia,WA,Female,248
01/06/2006,Australia,WA,Male,3230
01/09/2006,Australia,ACT,Female,13
01/09/2006,Australia,ACT,Male,152
01/09/2006,Australia,NSW,Female,686
01/09/2006,Australia,NSW,Male,8602
01/09/2006,Australia,NT,Female,34
01/09/2006,Australia,NT,Male,740
01/09/2006,Australia,QLD,Female,403
01/09/2006,Australia,QLD,Male,5178
01/09/2006,Australia,SA,Female,101
01/09/2006,Australia,SA,Male,1503
01/09/2006,Australia,TAS,Female,39
01/09/2006,Australia,TAS,Male,503
01/09/2006,Australia,VIC,Female,247
01/09/2006,Australia,VIC,Male,3693
01/09/2006,Australia,WA,Female,258
01/09/2006,Australia,WA,Male,3276
01/12/2006,Australia,ACT,Female,12
01/12/2006,Australia,ACT,Male,167
01/12/2006,Australia,NSW,Female,694
01/12/2006,Australia,NSW,Male,8735
01/12/2006,Australia,NT,Female,28
01/12/2006,Australia,NT,Male,781
01/12/2006,Australia,QLD,Female,415
01/12/2006,Australia,QLD,Male,5225
01/12/2006,Australia,SA,Female,105
01/12/2006,Australia,SA,Male,1556
01/12/2006,Australia,TAS,Female,46
01/12/2006,Australia,TAS,Male,507
01/12/2006,Australia,VIC,Female,242
01/12/2006,Australia,VIC,Male,3809
01/12/2006,Australia,WA,Female,281
01/12/2006,Australia,WA,Male,3310
01/03/2007,Australia,ACT,Female,9
01/03/2007,Australia,ACT,Male,163
01/03/2007,Australia,NSW,Female,680
01/03/2007,Australia,NSW,Male,8818
01/03/2007,Australia,NT,Female,39
01/03/2007,Australia,NT,Male,793
01/03/2007,Australia,QLD,Female,418
01/03/2007,Australia,QLD,Male,5197
01/03/2007,Australia,SA,Female,110
01/03/2007,Australia,SA,Male,1590
