ds,Temperature
1-1950,22.944054
2-1950,24.558395
3-1950,27.09487
4-1950,28.057873
5-1950,27.171478
6-1950,26.236706
7-1950,25.988285
8-1950,25.986074
9-1950,25.522806
10-1950,24.718012
11-1950,23.896076
12-1950,20.858591
1-1951,22.31083
2-1951,24.200594
3-1951,26.735817
4-1951,28.285044
5-1951,27.318201
6-1951,26.18332
7-1951,26.079788
8-1951,26.014494
9-1951,25.865742
10-1951,25.034523
11-1951,24.418795
12-1951,22.303606
1-1952,23.121037
2-1952,25.536772
3-1952,25.754333
4-1952,27.388979
5-1952,27.566998
6-1952,26.6233
7-1952,26.250437
8-1952,25.52037
9-1952,25.460028
10-1952,25.116106
11-1952,23.958025
12-1952,20.887201
1-1953,22.178183
2-1953,22.86291
3-1953,25.119358
4-1953,25.818886
5-1953,26.200039
6-1953,26.189596
7-1953,26.004889
8-1953,25.649555
9-1953,25.350372
10-1953,25.303795
11-1953,23.188522
12-1953,21.83524
1-1954,23.92534
2-1954,24.59233
3-1954,26.040134
4-1954,28.249454
5-1954,26.759336
6-1954,27.087593
7-1954,26.575474
8-1954,25.966494
9-1954,25.374355
10-1954,24.850325
11-1954,23.589428
12-1954,21.784952
1-1955,21.057053
2-1955,24.726776
3-1955,26.827087
4-1955,27.33282
5-1955,27.308382
6-1955,26.191742
7-1955,26.330791
8-1955,25.914167
9-1955,25.829678
10-1955,25.110752
11-1955,23.035099
12-1955,21.204807
1-1956,21.612534
2-1956,25.155905
3-1956,27.52284
4-1956,27.51698
5-1956,26.410496
6-1956,26.395044
7-1956,25.876577
8-1956,25.656004
9-1956,25.524765
10-1956,24.893652
11-1956,22.711174
12-1956,21.670006
1-1957,22.914259
2-1957,23.830753
3-1957,26.348974
4-1957,28.021984
5-1957,28.5992
6-1957,26.864754
7-1957,26.245031
8-1957,26.136444
9-1957,25.722034
10-1957,24.979776
11-1957,24.457943
12-1957,23.194366
1-1958,23.10116
2-1958,24.117365
3-1958,28.117382
4-1958,29.132362
5-1958,28.670525
6-1958,27.07746
7-1958,26.27905
8-1958,26.096823
9-1958,25.58174
10-1958,24.907955
11-1958,23.145908
12-1958,21.312447
1-1959,22.571503
2-1959,25.192396
3-1959,25.90218
4-1959,28.43839
5-1959,27.484194
6-1959,27.66946
7-1959,26.019064
8-1959,25.896652
9-1959,25.420416
10-1959,25.128128
11-1959,24.611538
12-1959,24.251015
1-1960,23.07019
2-1960,24.358053
3-1960,27.131554
4-1960,28.955297
5-1960,27.845392
6-1960,27.129623
7-1960,26.42535
8-1960,26.367815
9-1960,25.871729
10-1960,25.379875
11-1960,24.78446
12-1960,22.058992
1-1961,21.937572
2-1961,25.139877
3-1961,26.926826
4-1961,27.963257
5-1961,27.002645
6-1961,26.410221
7-1961,26.156624
8-1961,25.985622
9-1961,25.57104
10-1961,25.23543
11-1961,24.467
12-1961,23.11219
1-1962,21.49672
2-1962,23.35715
3-1962,26.383871
4-1962,28.108452
5-1962,27.710215
6-1962,26.771051
7-1962,26.452267
8-1962,26.01008
9-1962,25.723223
10-1962,25.381983
11-1962,24.137283
12-1962,21.524738
1-1963,19.902243
2-1963,23.533354
3-1963,25.95745
4-1963,27.893541
5-1963,28.58215
6-1963,26.803719
7-1963,25.976032
8-1963,26.092422
9-1963,25.993965
10-1963,25.346563
11-1963,24.772228
12-1963,22.253012
1-1964,23.608128
2-1964,24.402899
3-1964,26.656456
4-1964,28.250673
5-1964,26.697807
6-1964,26.80894
7-1964,26.521717
8-1964,26.185724
9-1964,25.83521
10-1964,25.529274
11-1964,22.892883
12-1964,21.180717
1-1965,21.285591
2-1965,24.926126
3-1965,26.105621
4-1965,27.926132
5-1965,27.212605
6-1965,26.183681
7-1965,26.416437
8-1965,26.132309
9-1965,25.868855
10-1965,25.611732
11-1965,24.429821
12-1965,23.717634
1-1966,23.9816
2-1966,25.013733
3-1966,26.958757
4-1966,28.438807
5-1966,26.09866
6-1966,26.016336
7-1966,25.563137
8-1966,25.21869
9-1966,24.715471
10-1966,25.12114
11-1966,23.965546
12-1966,23.780336
1-1967,21.978886
2-1967,23.704592
3-1967,26.471127
4-1967,27.581202
5-1967,27.203253
6-1967,27.088226
7-1967,26.633528
8-1967,26.247452
9-1967,25.721216
10-1967,24.996914
11-1967,24.28557
12-1967,21.58837
