DATE,y
01/01/1990,1466.8
01/02/1990,1458.1
01/03/1990,1453.1
01/04/1990,1459
01/05/1990,1466.6
01/06/1990,1500.5
01/07/1990,1533.4
01/08/1990,1577.3
01/09/1990,1581.6
01/10/1990,1555.5
01/11/1990,1526.3
01/12/1990,1508.9
01/01/1991,1472.8
01/02/1991,1473
01/03/1991,1467.1
01/04/1991,1463.3
01/05/1991,1476.4
01/06/1991,1514
01/07/1991,1532.3
01/08/1991,1598.5
01/09/1991,1592.7
01/10/1991,1558.8
01/11/1991,1525.9
01/12/1991,1508
01/01/1992,1473
01/02/1992,1464.9
01/03/1992,1459.4
01/04/1992,1470.9
01/05/1992,1481
01/06/1992,1517.7
01/07/1992,1560.7
01/08/1992,1590.9
01/09/1992,1588
01/10/1992,1561.9
01/11/1992,1534.1
01/12/1992,1517.4
01/01/1993,1491.8
01/02/1993,1491.1
01/03/1993,1486.1
01/04/1993,1483.8
01/05/1993,1495
01/06/1993,1528.1
01/07/1993,1562
01/08/1993,1612.2
01/09/1993,1602.3
01/10/1993,1583.2
01/11/1993,1550.2
01/12/1993,1529.1
01/01/1994,1493.8
01/02/1994,1496.9
01/03/1994,1493.9
01/04/1994,1488.2
01/05/1994,1500
01/06/1994,1536.4
01/07/1994,1569.9
01/08/1994,1614.4
01/09/1994,1605.1
01/10/1994,1577.8
01/11/1994,1556.7
01/12/1994,1537.8
01/01/1995,1513.2
01/02/1995,1509.1
01/03/1995,1506.5
01/04/1995,1505.6
01/05/1995,1518.8
01/06/1995,1564.3
01/07/1995,1590
01/08/1995,1634.4
01/09/1995,1629
01/10/1995,1606.5
01/11/1995,1579.7
01/12/1995,1563.1
01/01/1996,1527.6
01/02/1996,1534.2
01/03/1996,1534.7
01/04/1996,1522.3
01/05/1996,1534.8
01/06/1996,1552.8
01/07/1996,1580.6
01/08/1996,1627
01/09/1996,1615.2
01/10/1996,1592.8
01/11/1996,1567.7
01/12/1996,1554.6
01/01/1997,1527.1
01/02/1997,1526.7
01/03/1997,1526.7
01/04/1997,1520.1
01/05/1997,1530.6
01/06/1997,1553.5
01/07/1997,1576.3
01/08/1997,1614.6
01/09/1997,1609.3
01/10/1997,1584.5
01/11/1997,1569.2
01/12/1997,1556.1
01/01/1998,1525.6
01/02/1998,1526
01/03/1998,1522.4
01/04/1998,1521.7
01/05/1998,1530.1
01/06/1998,1553
01/07/1998,1572.4
01/08/1998,1605.4
01/09/1998,1607.7
01/10/1998,1575.4
01/11/1998,1564.9
01/12/1998,1554.4
01/01/1999,1529.6
01/02/1999,1525.1
01/03/1999,1518.9
01/04/1999,1511.4
01/05/1999,1521.6
01/06/1999,1540.6
01/07/1999,1557.8
01/08/1999,1586.7
01/09/1999,1588.7
01/10/1999,1582.3
01/11/1999,1573.7
01/12/1999,1561.6
01/01/2000,1536
01/02/2000,1529.9
01/03/2000,1525.9
01/04/2000,1531.3
01/05/2000,1532.9
01/06/2000,1548.2
01/07/2000,1573.1
01/08/2000,1590.3
01/09/2000,1581.4
01/10/2000,1571.9
01/11/2000,1559.4
01/12/2000,1557.2
01/01/2001,1532.2
01/02/2001,1531.2
01/03/2001,1530.6
01/04/2001,1529.1
01/05/2001,1536.3
01/06/2001,1558
01/07/2001,1565.2
01/08/2001,1584.9
01/09/2001,1581.9
01/10/2001,1566.5
01/11/2001,1556.4
01/12/2001,1541.7
01/01/2002,1517.6
01/02/2002,1511.3
01/03/2002,1509.6
01/04/2002,1503.6
01/05/2002,1506.9
01/06/2002,1524.7
01/07/2002,1532.5
01/08/2002,1549.5
01/09/2002,1551.8
01/10/2002,1542.5
01/11/2002,1535.4
01/12/2002,1523.4
01/01/2003,1503.5
01/02/2003,1495.3
01/03/2003,1493.2
01/04/2003,1486.5
01/05/2003,1495.8
01/06/2003,1512.9
01/07/2003,1532
01/08/2003,1556.7
01/09/2003,1558.8
01/10/2003,1544.3
01/11/2003,1520.4
01/12/2003,1510
01/01/2004,1476.6
01/02/2004,1471.2
01/03/2004,1470.3
01/04/2004,1466.8
01/05/2004,1478.9
01/06/2004,1492.3
01/07/2004,1519.1
01/08/2004,1527
01/09/2004,1520.5
01/10/2004,1515.7
01/11/2004,1496.8
01/12/2004,1488.7
01/01/2005,1459.8
01/02/2005,1454
01/03/2005,1457.5
01/04/2005,1444.6
01/05/2005,1458.8
01/06/2005,1480.6
01/07/2005,1503.5
01/08/2005,1512.7
01/09/2005,1497.8
01/10/2005,1492.2
01/11/2005,1485.6
01/12/2005,1484.1
01/01/2006,1456.1
01/02/2006,1450
01/03/2006,1451.4
01/04/2006,1449.5
01/05/2006,1458.2
01/06/2006,1485
01/07/2006,1501.9
01/08/2006,1514
01/09/2006,1515.6
01/10/2006,1502.4
01/11/2006,1495.2
01/12/2006,1473.4
01/01/2007,1457.5
01/02/2007,1449.4
01/03/2007,1452.3
01/04/2007,1444.7
01/05/2007,1461.6
01/06/2007,1492.8
01/07/2007,1517.4
01/08/2007,1520.4
01/09/2007,1514.6
01/10/2007,1506.6
01/11/2007,1496.1
01/12/2007,1495.3
01/01/2008,1469.4
01/02/2008,1462.6
01/03/2008,1458.6
01/04/2008,1449
01/05/2008,1461.7
01/06/2008,1481.7
01/07/2008,1495
01/08/2008,1511.7
01/09/2008,1512.6
01/10/2008,1500.6
01/11/2008,1494.4
01/12/2008,1473.2
01/01/2009,1436.9
01/02/2009,1426.5
01/03/2009,1422.5
01/04/2009,1426.4
01/05/2009,1436.1
01/06/2009,1459.2
01/07/2009,1474.7
01/08/2009,1495
01/09/2009,1497.3
01/10/2009,1482.8
01/11/2009,1465.8
01/12/2009,1453.7
01/01/2010,1416.8
