DATE,y
01/01/2006,39580
08/01/2006,36920
15/01/2006,63300
22/01/2006,51910
29/01/2006,61430
05/02/2006,62890
12/02/2006,61790
19/02/2006,57910
26/02/2006,52080
05/03/2006,63440
12/03/2006,60960
19/03/2006,62540
26/03/2006,61960
02/04/2006,62270
09/04/2006,59090
16/04/2006,54940
23/04/2006,54730
30/04/2006,57850
07/05/2006,58370
14/05/2006,54980
21/05/2006,53850
28/05/2006,52340
04/06/2006,40240
11/06/2006,53600
18/06/2006,53530
25/06/2006,50250
02/07/2006,49860
09/07/2006,35330
16/07/2006,51020
23/07/2006,49810
30/07/2006,48770
06/08/2006,48230
13/08/2006,48930
20/08/2006,48690
27/08/2006,50030
03/09/2006,49260
10/09/2006,36730
17/09/2006,48350
24/09/2006,48180
01/10/2006,49720
8/10/2006,48950
15/10/2006,37310
22/10/2006,44830
29/10/2006,45420
5/11/2006,44700
12/11/2006,35360
19/11/2006,50500
26/11/2006,35770
03/12/2006,43310
10/12/2006,44670
17/12/2006,45490
24/12/2006,60800
31/12/2006,41440
07/01/2007,17620
14/01/2007,74560
21/01/2007,50830
28/01/2007,61230
04/02/2007,61290
11/02/2007,57370
18/02/2007,54140
25/02/2007,45900
04/03/2007,61500
11/03/2007,66150
18/03/2007,59610
25/03/2007,59220
01/04/2007,57310
08/04/2007,56190
15/04/2007,53200
22/04/2007,55490
29/04/2007,57480
06/05/2007,56280
13/05/2007,53460
20/05/2007,53220
27/05/2007,53860
03/06/2007,41440
10/06/2007,54530
17/06/2007,50780
24/06/2007,50230
01/07/2007,50800
08/07/2007,38480
15/07/2007,48400
22/07/2007,50200
29/07/2007,47390
05/08/2007,52990
12/08/2007,48820
19/08/2007,46110
26/08/2007,48320
02/09/2007,50050
09/09/2007,35250
16/09/2007,49400
23/09/2007,60640
30/09/2007,54530
7/10/2007,54660
14/10/2007,43180
21/10/2007,51220
28/10/2007,50390
4/11/2007,49050
11/11/2007,48000
18/11/2007,42610
25/11/2007,33760
02/12/2007,46190
9/12/2007,47360
16/12/2007,47130
23/12/2007,50250
30/12/2007,32470
06/01/2008,33750
13/01/2008,60520
20/01/2008,60280
27/01/2008,54580
03/02/2008,61480
10/02/2008,57290
17/02/2008,55620
24/02/2008,52400
02/03/2008,61610
09/03/2008,59920
16/03/2008,59210
23/03/2008,57540
30/03/2008,56030
06/04/2008,58290
13/04/2008,56520
20/04/2008,56180
27/04/2008,54570
04/05/2008,55600
11/05/2008,53870
18/05/2008,53230
25/05/2008,51650
01/06/2008,42490
08/06/2008,51710
15/06/2008,48880
22/06/2008,47930
29/06/2008,40790
06/07/2008,38780
13/07/2008,47580
20/07/2008,48280
27/07/2008,48680
03/08/2008,48420
10/08/2008,56160
17/08/2008,46180
24/08/2008,47030
31/08/2008,47610
07/09/2008,38590
14/09/2008,48680
21/09/2008,47130
28/09/2008,47840
5/10/2008,46430
12/10/2008,45190
19/10/2008,38920
26/10/2008,45400
02/11/2008,43780
9/11/2008,42590
16/11/2008,41180
23/11/2008,44530
30/11/2008,29480
7/12/2008,41660
14/12/2008,43230
21/12/2008,41940
28/12/2008,23770
04/01/2009,32480
11/01/2009,55290
18/01/2009,53980
25/01/2009,47950
01/02/2009,54330
08/02/2009,53280
15/02/2009,51360
22/02/2009,49110
01/03/2009,53980
08/03/2009,53480
15/03/2009,53680
22/03/2009,53850
29/03/2009,54100
05/04/2009,52930
12/04/2009,49480
19/04/2009,50160
26/04/2009,51330
03/05/2009,51740
10/05/2009,49380
17/05/2009,49140
24/05/2009,48390
31/05/2009,39910
07/06/2009,49120
14/06/2009,48040
21/06/2009,47110
28/06/2009,45410
05/07/2009,38430
12/07/2009,47020
19/07/2009,45740
26/07/2009,45330
02/08/2009,45870
09/08/2009,44640
16/08/2009,43680
23/08/2009,44740
30/08/2009,46920
06/09/2009,47190
13/09/2009,36470
20/09/2009,45550
27/09/2009,46120
4/10/2009,44520
11/10/2009,46520
18/10/2009,39840
25/10/2009,46340
01/11/2009,45300
8/11/2009,44870
15/11/2009,41360
22/11/2009,43590
29/11/2009,31560
6/12/2009,42200
13/12/2009,44160
20/12/2009,43460
27/12/2009,30100
03/01/2010,30230
10/01/2010,55000
17/01/2010,52420
24/01/2010,50010
31/01/2010,59190
07/02/2010,56770
14/02/2010,50330
21/02/2010,48880
28/02/2010,55390
07/03/2010,57600
14/03/2010,57220
21/03/2010,49880
28/03/2010,57350
04/04/2010,53380
11/04/2010,50950
18/04/2010,53000
25/04/2010,53000
02/05/2010,54210
09/05/2010,51650
16/05/2010,51050
23/05/2010,50890
